RK,NAME,TEAM,GP,MPG,ORPM,DRPM,RPM,WINS,Position
109,Franz Wagner,ORL,79,30.70,-1.72,3.32,1.60,9.92, SF
110,Kevin Porter Jr.,HOU,61,31.30,0.58,0.90,1.47,7.48, SG
111,Luguentz Dort,OKC,51,32.60,-0.13,1.41,1.29,6.40, SF
112,Jalen Brunson,DAL,79,31.90,-0.14,1.34,1.20,9.94, PG
113,Andre Drummond,BKN,73,19.70,-1.29,2.44,1.15,5.61, C
114,Matisse Thybulle,PHI,66,25.50,-2.49,3.64,1.15,6.18, SG
115,Grayson Allen,MIL,66,27.30,-0.07,1.21,1.14,7.15, SG
116,Robert Covington,LAC,71,27.30,-2.11,3.24,1.13,7.62, PF
117,RJ Barrett,NYK,70,34.50,-0.39,1.50,1.10,9.05, SG
118,Dillon Brooks,MEM,32,27.70,1.52,-0.42,1.10,3.23, SF
119,Josh Giddey,OKC,54,31.50,-1.56,2.54,0.98,6.09, SG
120,Kevin Huerter,ATL,74,29.60,-0.95,1.86,0.91,7.87, SG
121,Jarred Vanderbilt,MIN,74,25.40,-2.92,3.81,0.89,6.79, PF
122,Gary Payton II,GSW,71,17.60,1.15,-0.29,0.86,5.17, SG
123,Cade Cunningham,DET,64,32.60,-0.86,1.66,0.80,7.13, PG
124,Cole Anthony,ORL,65,31.70,0.08,0.59,0.67,7.15, PG
125,Jeff Green,DEN,75,24.70,-1.99,2.59,0.60,5.93, PF
126,DeMarcus Cousins,DEN,48,14.90,2.21,-1.61,0.60,2.70, C
127,Terence Davis,SAC,30,17.90,2.54,-2.02,0.52,2.13, SG
128,Daniel Gafford,WSH,72,20.10,-0.66,1.13,0.46,4.69, C
129,Herbert Jones,NOP,78,29.90,-2.84,3.29,0.46,7.89, SF
130,Lindy Waters III,OKC,25,18.60,2.54,-2.15,0.39,1.83, F
131,Caris LeVert,CLE,58,30.70,0.35,0.04,0.39,5.71, SG
132,Tyus Jones,MEM,73,21.20,0.63,-0.26,0.37,5.52, PG
133,Otto Porter Jr.,GSW,63,22.10,0.15,0.21,0.36,5.23, SF
134,Justin Holiday,SAC,74,27.80,-1.81,2.10,0.29,6.36, SF
135,De'Aaron Fox,SAC,59,35.30,1.69,-1.45,0.24,6.99, PG
136,Moritz Wagner,ORL,63,15.20,3.65,-3.44,0.22,3.58, C
137,Draymond Green,GSW,46,28.90,-1.55,1.66,0.11,4.06, PF
138,Isaiah Roby,OKC,45,21.10,-0.17,0.26,0.09,2.87, PF
139,Mike Muscala,OKC,43,13.80,2.45,-2.40,0.06,2.29, C
140,Bradley Beal,WSH,40,36.00,1.76,-1.71,0.05,4.43, SG
141,Gabe Vincent,MIA,68,23.40,-0.72,0.75,0.03,4.83, PG
142,Alec Burks,NYK,81,28.60,-1.26,1.27,0.01,7.29, SG
143,Patty Mills,BKN,81,29.00,-1.24,1.20,-0.03,7.24, PG
144,Kelly Oubre Jr.,CHA,76,26.30,3.13,-3.22,-0.09,6.65, SG
145,Lonzo Ball,CHI,35,34.60,-0.78,0.68,-0.10,3.66, PG
146,Goga Bitadze,IND,50,14.60,1.71,-1.81,-0.10,2.24, C
147,Jose Alvarado,NOP,54,15.40,1.29,-1.43,-0.13,2.92, PG
148,P.J. Washington,CHA,65,27.20,0.59,-0.79,-0.20,5.51, PF
149,Blake Griffin,BKN,56,17.10,0.78,-1.01,-0.23,2.96, PF
150,Corey Kispert,WSH,77,23.40,-0.09,-0.16,-0.25,5.40, SF
151,Isaiah Stewart,DET,71,25.60,-4.72,4.45,-0.28,4.75, C
152,Obi Toppin,NYK,72,17.10,1.79,-2.07,-0.29,3.86, PF
153,Dean Wade,CLE,51,19.20,-0.74,0.45,-0.29,2.82, PF
154,Anfernee Simons,POR,57,29.50,2.17,-2.48,-0.31,5.11, SG
155,Isaac Okoro,CLE,67,29.60,-2.84,2.52,-0.32,5.36, SF
156,Jalen Green,HOU,67,31.90,-0.21,-0.15,-0.35,5.94, SG
157,Gordon Hayward,CHA,49,31.90,-0.52,0.12,-0.40,4.29, SF
158,Darius Bazley,OKC,69,27.90,-2.39,1.96,-0.44,5.38, PF
159,Javonte Green,CHI,65,23.40,-1.48,0.99,-0.49,4.15, SF
160,De'Anthony Melton,MEM,73,22.70,0.89,-1.43,-0.54,5.11, SG
161,Jalen Smith,IND,51,18.10,1.23,-1.77,-0.55,2.84, PF
162,Kevin Love,CLE,74,22.50,3.36,-3.93,-0.57,5.46, PF
163,Max Strus,MIA,68,23.30,1.67,-2.25,-0.58,4.65, SG
164,Cameron Johnson,PHX,66,26.20,1.07,-1.65,-0.59,5.18, SF
165,Brandon Clarke,MEM,64,19.50,1.42,-2.10,-0.68,3.83, PF
166,Marcus Morris Sr.,LAC,54,29.00,-0.62,-0.08,-0.70,3.91, SF
167,Terance Mann,LAC,81,28.60,-1.46,0.73,-0.72,6.27, SG
168,Chimezie Metu,SAC,60,21.30,-0.69,-0.04,-0.73,3.54, PF
169,Montrezl Harrell,CHA,71,23.10,1.90,-2.67,-0.77,4.78, C
170,Kemba Walker,NYK,37,25.60,0.00,-0.80,-0.80,2.22, PG
171,Nassir Little,POR,42,25.90,-0.10,-0.71,-0.81,2.86, SF
172,Gorgui Dieng,ATL,44,8.40,1.05,-1.87,-0.82,1.11, C
173,Norman Powell,LAC,45,32.40,0.56,-1.39,-0.82,3.68, SF
174,JaVale McGee,PHX,74,15.80,0.02,-0.86,-0.83,3.23, C
175,Frank Kaminsky,PHX,9,20.10,0.88,-1.72,-0.85,0.55, PF
176,Bruce Brown,BKN,72,24.60,-2.20,1.34,-0.85,4.40, SF
177,Andre Iguodala,GSW,31,19.50,0.44,-1.30,-0.86,1.69, F
178,Chris Boucher,TOR,80,21.10,1.06,-1.93,-0.87,4.71, PF
179,Isaiah Hartenstein,LAC,68,17.90,0.94,-1.81,-0.87,3.47, C
180,Garrison Mathews,HOU,65,26.30,1.22,-2.14,-0.92,4.50, SG
181,Reggie Bullock,DAL,68,28.00,-0.43,-0.50,-0.93,4.94, SF
182,Chuma Okeke,ORL,70,25.00,-0.96,0.01,-0.95,4.80, PF
183,Sam Merrill,MEM,6,9.70,4.10,-5.06,-0.97,0.12, SG
184,Buddy Hield,IND,81,30.90,1.61,-2.61,-1.00,6.55, SG
185,Malik Monk,LAL,76,28.10,1.34,-2.35,-1.01,5.60, SG
186,Ty Jerome,OKC,48,16.70,1.21,-2.23,-1.02,2.13, SG
187,Aleksej Pokusevski,OKC,61,20.20,-0.93,-0.09,-1.02,3.22, F
188,Hassan Whiteside,UTA,65,17.90,0.51,-1.59,-1.08,3.35, C
189,Tim Hardaway Jr.,DAL,42,29.60,1.13,-2.22,-1.09,3.24, SF
190,Jaxson Hayes,NOP,70,20.00,0.39,-1.51,-1.11,3.49, C
191,Danilo Gallinari,ATL,66,25.30,0.03,-1.17,-1.14,3.98, PF
192,Devin Vassell,SAS,71,27.30,0.21,-1.38,-1.17,4.90, SG
193,Trevelin Queen,HOU,10,7.40,1.80,-2.98,-1.18,0.23, SG
194,Hamidou Diallo,DET,58,21.90,-0.88,-0.32,-1.19,3.01, SG
195,Maxi Kleber,DAL,59,24.60,-0.49,-0.71,-1.19,3.63, PF
196,Jeremiah Robinson-Earl,OKC,49,22.20,-2.48,1.24,-1.24,2.30, PF
197,Amir Coffey,LAC,69,22.70,-0.47,-0.81,-1.29,3.50, SG
198,Ricky Rubio,CLE,34,28.50,0.76,-2.05,-1.29,2.44, PG
199,Jaylen Hoard,OKC,7,34.30,1.08,-2.41,-1.33,0.42, F
200,Caleb Martin,MIA,60,22.90,-0.67,-0.67,-1.34,3.18, SF
201,Isaiah Jackson,IND,36,15.00,-0.01,-1.34,-1.35,1.22, SF
202,Bones Hyland,DEN,69,19.00,2.28,-3.69,-1.41,3.05, PG
203,Dwight Howard,LAL,60,16.20,-0.68,-0.74,-1.42,2.20, C
204,Nic Claxton,BKN,47,20.70,-0.90,-0.53,-1.42,2.01, PF
205,Jordan Clarkson,UTA,79,27.10,3.56,-5.01,-1.45,5.42, PG
206,Daniel Theis,BOS,47,20.80,-0.49,-0.97,-1.46,2.07, C
207,Ziaire Williams,MEM,62,21.70,0.46,-1.93,-1.47,2.97, SG
208,Trey Lyles,SAC,75,20.50,0.99,-2.46,-1.47,3.49, PF
209,Armoni Brooks,TOR,54,15.60,2.18,-3.66,-1.48,2.07, G
210,Onyeka Okongwu,ATL,48,20.70,0.26,-1.74,-1.48,2.23, PF
211,Joe Ingles,UTA,45,24.90,1.31,-2.83,-1.52,2.63, SG
212,Charles Bassey,PHI,23,7.30,-0.07,-1.46,-1.53,0.45, C
213,Marvin Bagley III,DET,48,23.90,-0.35,-1.22,-1.57,2.36, PF
214,Brook Lopez,MIL,13,22.90,0.69,-2.26,-1.57,0.58, C
215,Eric Bledsoe,LAC,54,25.20,-0.99,-0.61,-1.60,2.88, SG
216,Immanuel Quickley,NYK,78,23.10,1.91,-3.51,-1.60,3.97, SG
217,Jaden McDaniels,MIN,70,25.80,-1.36,-0.26,-1.62,3.71, PF
218,Jonathan Kuminga,GSW,70,16.90,0.98,-2.61,-1.63,2.48, PF
219,Xavier Tillman,MEM,53,13.20,-0.43,-1.21,-1.64,1.53, C
220,Naz Reid,MIN,77,15.80,0.79,-2.42,-1.64,2.71, C
221,Paul Reed,PHI,38,8.00,-1.47,-0.19,-1.66,0.61, SF
222,Eric Gordon,HOU,57,29.30,-0.11,-1.55,-1.66,3.30, SG
223,Kelly Olynyk,DET,40,19.10,1.64,-3.32,-1.68,1.69, PF
224,Tyler Herro,MIA,66,32.60,1.73,-3.42,-1.69,4.51, PG
